supplier_id,supplier_name,country,tier,annual_spend_usd,total_spend_usd,activity_tonco2e,transport_tco2e,total_tco2e,avg_distance_km,transport_risk_score,category_used,emission_intensity
SUP004,"ChemBase Inc",IN,2,4804572,22742932.24,868.8264,34301.5955,35170.4219,5140.65,1.92,5,1546.433
SUP001,"GreenSteel Corp",DE,2,6923388,22509516.16,1051.5394,42208.376,43259.9154,7042.36,2.08,6,1921.8501
SUP012,"FoodSource Ltd",US,2,4972471,17801787.6,969.9181,59536.6319,60506.55,5061.92,2.17,6,3398.903
SUP011,"MetalWorks AG",PL,2,10128519,21924527.68,1074.9845,64111.7214,65186.7059,5746.64,2.58,6,2973.2319
SUP015,"PaperMill Co",IN,2,7904852,24211611.52,980.0828,70612.5633,71592.6461,7125.1,2.00,6,2956.955
SUP019,"TextilePro Inc",US,1,5021373,20010222,988.7505,75041.4415,76030.192,5434.55,2.50,5,3799.5676
SUP009,"WasteWise Ltd",DE,1,12933495,18425045.44,1043.3457,82131.303,83174.6487,6913.91,2.42,5,4514.2167
SUP007,"PlastiForm SA",DE,2,10458614,26822288.64,1048.0858,83054.5182,84102.604,5923.98,2.33,6,3135.5491
SUP002,"FastFreight LLC",US,3,7050634,29705814.16,639.2135,108602.7838,109241.9973,6095.21,2.00,6,3677.4618
SUP017,"FuelLink Corp",ID,1,14453367,24208302.08,994.7668,108378.091,109372.8578,6044.55,2.75,5,4517.9896
SUP005,"AgroSupply Co",IN,3,13815092,25940610,1274.8404,125960.2045,127235.0449,5739.55,2.00,5,4904.8594
SUP013,"BuildMat Corp",US,1,11026850,31255771.92,1226.5472,127281.8987,128508.4459,5919.01,2.33,5,4111.5109
SUP006,"TechParts GmbH",CN,3,2734489,30783546.4,1464.8147,167278.6801,168743.4948,6159.72,1.92,6,5481.6132
SUP008,"LogiHaul Inc",ID,1,10024682,25572012.16,950.4043,176024.8894,176975.2937,7253.89,2.58,5,6920.6636
SUP010,"EcoFabrics Co",KR,2,7704212,21859963.68,714.7962,177895.0114,178609.8076,7448.66,2.92,5,8170.6361
SUP003,"PackagePro Ltd",MX,2,10581351,22419755.76,897.6658,203616.6468,204514.3126,5172.17,2.83,6,9122.058
SUP020,"DataCenter Co",ID,2,6519877,23962607.52,635.6519,218461.9651,219097.617,6990.72,2.50,5,9143.3128
SUP018,"CleanChem SA",KR,2,2266891,22128202.32,1156.4571,259973.752,261130.2091,6603.25,2.92,4,11800.7873
SUP016,"ElectroParts Ltd",IN,1,5481505,29289941.04,995.2099,354233.1033,355228.3132,7137.92,2.83,5,12127.9969
SUP014,"ColdChain Inc",DE,2,5023669,27809590.08,1087.3886,413810.5423,414897.9309,7542.1,2.83,5,14919.2394
